base,params,exp,teacher,n_examples,repeat,max_tokens,step,benchmark,mean,std,n_seeds,wandb_run,created,state
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AIME25,0.0,0.0,10,aujgvdkk,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AIME25,0.0,0.0,10,17d43u6h,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AMC23,0.1075,0.0374,10,qc74qm3k,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AMC23,0.1075,0.0374,10,z6b9k2c3,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,HMMT,0.0,0.0,10,q8kfidbx,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,HMMT,0.0,0.0,10,ihceytj7,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,MATH500,0.228,0.0159,3,hfnng4jz,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,MATH500,0.228,0.0159,3,oi1f0tme,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AIME24,0.0033,0.0105,10,7lqxvsig,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AIME24,0.0033,0.0105,10,0esd451w,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AIME25,0.0,0.0,10,7k22lchh,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AIME25,0.0,0.0,10,3sind8we,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AMC23,0.08,0.0369,10,f2shwxs8,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,AMC23,0.08,0.0369,10,9xd4mv7f,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,HMMT,0.0,0.0,10,755zmyxt,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,HMMT,0.0,0.0,10,357jykt0,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,MATH500,0.2767,0.0012,3,84pnxcan,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,2,32768,79,MATH500,0.2767,0.0012,3,vhaeuxqi,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AIME24,0.0033,0.0105,10,7n25umjm,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AIME24,0.0033,0.0105,10,lonxj9mz,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AIME25,0.0,0.0,10,vtmhr76b,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AIME25,0.0,0.0,10,jj9kbqxw,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AMC23,0.095,0.0483,10,k7nf58gj,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,AMC23,0.095,0.0483,10,zgbr88vp,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,HMMT,0.0,0.0,10,qskz13df,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,HMMT,0.0,0.0,10,bwbyk1yn,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,MATH500,0.2653,0.0095,3,y4pfc57r,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,3,32768,79,MATH500,0.2653,0.0095,3,qba9zj6m,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AIME24,0.0,0.0,10,nbjx8dq5,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AIME24,0.0,0.0,10,xnffv55p,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AIME25,0.0,0.0,10,o70nv5ud,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AIME25,0.0,0.0,10,hsnobc6t,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AMC23,0.1325,0.0334,10,6paj5b2j,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,AMC23,0.1325,0.0334,10,3ee00wbi,2026-04-13,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,HMMT,0.0033,0.0105,10,l2ekokl2,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,512,1,32768,159,HMMT,0.0033,0.0105,10,vsswomh0,2026-04-13,finished
