_step,train/loss,eval/paloma/c4_en-llama3/loss,eval_dropless/paloma/c4_en-llama3/loss,eval/macro_loss,eval_dropless/macro_loss,_segment
8751,1.3717671632766724,,,,,hero-12d8b6f0-dee637
8756,1.3798412084579468,,,,,hero-12d8b6f0-dee637
8781,1.3719919919967651,,,,,hero-12d8b6f0-dee637
8798,1.3619141578674316,,,,,hero-12d8b6f0-dee637
8804,1.3766151666641235,,,,,hero-12d8b6f0-dee637
8805,1.3619266748428345,,,,,hero-12d8b6f0-dee637
8825,1.3680684566497803,,,,,hero-12d8b6f0-dee637
8869,1.3582758903503418,,,,,hero-12d8b6f0-dee637
8892,1.3655706644058228,,,,,hero-12d8b6f0-dee637
8925,1.3727935552597046,,,,,hero-12d8b6f0-dee637
8934,1.366791844367981,,,,,hero-12d8b6f0-dee637
8976,1.36509108543396,,,,,hero-12d8b6f0-dee637
8980,1.3747241497039795,,,,,hero-12d8b6f0-dee637
8999,,2.6343371868133545,2.4689762592315674,2.476186752319336,2.2193145751953125,hero-12d8b6f0-dee637
9044,1.3574705123901367,,,,,hero-12d8b6f0-dee637
9050,1.3746682405471802,,,,,hero-12d8b6f0-dee637
9065,1.370725154876709,,,,,hero-12d8b6f0-dee637
9088,1.3661937713623047,,,,,hero-12d8b6f0-dee637
9102,1.3753052949905396,,,,,hero-12d8b6f0-dee637
9182,1.3724133968353271,,,,,hero-12d8b6f0-dee637
9281,1.3661212921142578,,,,,hero-12d8b6f0-dee637
9330,1.36282217502594,,,,,hero-12d8b6f0-dee637
9333,1.3523813486099243,,,,,hero-12d8b6f0-dee637
9365,1.3600269556045532,,,,,hero-12d8b6f0-dee637
9381,1.3639158010482788,,,,,hero-12d8b6f0-dee637
9429,1.347127079963684,,,,,hero-12d8b6f0-dee637
9444,1.3669700622558594,,,,,hero-12d8b6f0-dee637
9530,1.3748337030410767,,,,,hero-12d8b6f0-dee637
9542,1.354565978050232,,,,,hero-12d8b6f0-dee637
9585,1.364911675453186,,,,,hero-12d8b6f0-dee637
9664,1.358505129814148,,,,,hero-12d8b6f0-dee637
9673,1.35331392288208,,,,,hero-12d8b6f0-dee637
9674,1.3578728437423706,,,,,hero-12d8b6f0-dee637
9702,1.3542848825454712,,,,,hero-12d8b6f0-dee637
9714,1.3690180778503418,,,,,hero-12d8b6f0-dee637
9740,1.357890248298645,,,,,hero-12d8b6f0-dee637
9781,1.3323088884353638,,,,,hero-12d8b6f0-dee637
9841,1.3550466299057007,,,,,hero-12d8b6f0-dee637
9842,1.343785047531128,,,,,hero-12d8b6f0-dee637
9878,1.3572561740875244,,,,,hero-12d8b6f0-dee637
9898,1.3497135639190674,,,,,hero-12d8b6f0-dee637
9923,1.3545868396759033,,,,,hero-12d8b6f0-dee637
9941,1.3563461303710938,,,,,hero-12d8b6f0-dee637
10049,1.3487824201583862,,,,,hero-12d8b6f0-dee637
10071,1.3638010025024414,,,,,hero-12d8b6f0-dee637
10202,1.338858723640442,,,,,hero-12d8b6f0-dee637
10203,1.3608070611953735,,,,,hero-12d8b6f0-dee637
10256,1.34320068359375,,,,,hero-12d8b6f0-dee637
10282,1.3509843349456787,,,,,hero-12d8b6f0-dee637
10296,1.3550995588302612,,,,,hero-12d8b6f0-dee637
10303,1.347281575202942,,,,,hero-12d8b6f0-dee637
10304,1.3529183864593506,,,,,hero-12d8b6f0-dee637
10340,1.3461648225784302,,,,,hero-12d8b6f0-dee637
10362,1.3448443412780762,,,,,hero-12d8b6f0-dee637
10372,1.3357570171356201,,,,,hero-12d8b6f0-dee637
10382,1.3561574220657349,,,,,hero-12d8b6f0-dee637
